Title,Source,Link,Summary,PublishDate
"Danfoss introduces Thorx CLM 5 C cam lobe motor, a breakthrough in efficiency and performance for road rollers",Danfoss,https://www.danfoss.com/en/about-danfoss/news/dps/danfoss-introduces-thorx-clm-5-c-cam-lobe-motor-a-breakthrough-in-efficiency-and-performance-for-road-rollers/,"The CLM 5 C motor features a robust, novel design that eliminates leakage, enables smoother road finishing, reduces service issues, and extends component lifetime.",2025-07-29
Boost HVAC performance effortlessly: Smart VFDs for AHU and BMS,Danfoss,https://www.danfoss.com/en/about-danfoss/news/dds/smart-vfds-fc102-for-ahu-and-bms/,"Danfoss presents new features of VLT® HVAC Drive FC 102, that enhance the functionality of air handling units (AHU) and rooftop units (RTU), for simplicity in installation, operation, and energy efficiency in a Building Management System (BMS) concept. Importantly, FC 102 indicates the operational performance of the AHU Specific Fan Power (SFP) to document operation efficiency, in compliance with the EN16798 standard.",2025-07-14
"TurbocorCloud®: smart, connected compressors for enhanced performance",Danfoss,https://www.danfoss.com/en/about-danfoss/news/dcs/turbocorcloud-smart-connected-compressors-for-enhanced-performance/,"Danfoss introduces TurbocorCloud®, a cloud solution designed to enhance the performance of Turbocor® compressors through smart, connected technology. This platform provides users with seamless remote access to optimize compressor systems efficiently, effectively reducing the need for site visits.",2025-07-08
"Danfoss Drives enables the green transition, one EV tugboat at a time",Danfoss,https://www.danfoss.com/en/about-danfoss/news/dds/danfoss-drives-enables-the-green-transition-one-ev-tugboat-at-a-time/,"JAPAN: Danfoss Drives is proud to drive the building of an EV tugboat and a battery shore supply system, taking another step towards meeting the 2050 IMO standard.",2025-06-30
Danfoss iC7 Series Powers New Electric Ferry 'Nerthus',Danfoss,https://www.danfoss.com/en/about-danfoss/news/cf/danfoss-ic7-series-powers-new-electric-ferry-nerthus/,"The newly launched electric ferry Nerthus sets sail, featuring Danfoss Drives’ latest iC7 series as a key part of its all-electric propulsion system, highlighting Danfoss’ strong role in the green transition of maritime transport.",2025-06-20
Danfoss Power Solutions celebrates 20th anniversary of flagship H1P pump,Danfoss,https://www.danfoss.com/en/about-danfoss/news/dps/danfoss-power-solutions-celebrates-20th-anniversary-of-flagship-h1p-pump/,"The H1P axial piston pump is renowned for its unmatched reliability, high efficiency, compact design, and precise control. Danfoss has produced 1.7 million H1P pumps since its launch, and continues to invest in the portfolio today.",2025-06-18
Danfoss unveils state-of-the-art water test lab to deliver tailored nozzle performance testing for customers,Danfoss,https://www.danfoss.com/en/about-danfoss/news/dhs/danfoss-unveils-state-of-the-art-water-test-lab-to-deliver-tailored-nozzle-performance-testing-for-customers/,"A dedicated water lab was developed and installed in our Nordborg production site in Denmark to test the performance of various water nozzle configurations for customers. This setup allows us to validate product efficiency under diverse use cases like humidification, dust control, and adiabatic cooling.",2025-06-13
"Drive performance, efficiency, and innovation with Danfoss at iVT Expo Cologne 2025",Danfoss,https://www.danfoss.com/en/about-danfoss/news/dps/drive-performance-efficiency-and-innovation-with-danfoss-at-ivt-expo-cologne-2025/,"Danfoss Power Solutions will highlight its latest technologies for off- and on-highway machinery at iVT Expo 2025, June 11-12, in Cologne, Germany. Visit the company at booth 2000.",2025-06-05
Intelligent heating made simple: Danfoss and E.ON One join forces,Danfoss,https://www.danfoss.com/en/about-danfoss/news/cf/intelligent-heating-made-simple-danfoss-and-eon-one-join-forces/,Danfoss and E.ON One present an all-in-one solution combining hardware and software that saves up to 30% energy and enables significant CO₂ reductions for both existing and new buildings.,2025-05-22
"Danfoss welcomes Danish Foreign Minister Lars Løkke Rasmussen to landmark factory visit in Tianjin, China",Danfoss,https://www.danfoss.com/en/about-danfoss/news/cf/danfoss-welcomes-danish-foreign-minister-lars-loekke-rasmussen-to-landmark-factory-visit-in-tianjin-china/,"As part of a high-level visit to China, Danish Minister for Foreign Affairs, Lars Løkke Rasmussen, toured Danfoss’ pioneering factory in Tianjin on May 18, highlighting the strong economic ties between Denmark and China and the role of green innovation in their future cooperation.",2025-05-19
